accession	accession_version	strain	isolate	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	authors	full_authors	institution	url	genotype	MuV_genotype	taxon_id	MuV_genotype_nextclade_sh	MuV_genotype_nextclade_genome	MuV_genotype_nextclade_genome_new	Match
AY039737	AY039737.1	Lit1017	Lit1017	XXXX-XX-XX	Europe	Lithuania			300			2001-08-09	2002-04-26	Tecle et al.	"Tecle,T.,Mickiene,A.,Johansson,B.,Lindquist,L.,Orvell,C."	"Huddinge University Hospital, IMPI, Karolinska Institutet, Department of Clinical Virology"	https://www.ncbi.nlm.nih.gov/nuccore/AY039737	Mumps orthorubulavirus		2560602	C	C	A	FALSE
AY039738	AY039738.1	Lit1065	Lit1065	XXXX-XX-XX	Europe	Lithuania			300			2001-08-09	2002-04-26	Tecle et al.	"Tecle,T.,Mickiene,A.,Johansson,B.,Lindquist,L.,Orvell,C."	"Huddinge University Hospital, IMPI, Karolinska Institutet, Department of Clinical Virology"	https://www.ncbi.nlm.nih.gov/nuccore/AY039738	Mumps orthorubulavirus		2560602	C	C	A	FALSE
AY039739	AY039739.1	Lit789	Lit789	XXXX-XX-XX	Europe	Lithuania			300			2001-08-09	2002-04-26	Tecle et al.	"Tecle,T.,Mickiene,A.,Johansson,B.,Lindquist,L.,Orvell,C."	"Huddinge University Hospital, IMPI, Karolinska Institutet, Department of Clinical Virology"	https://www.ncbi.nlm.nih.gov/nuccore/AY039739	Mumps orthorubulavirus		2560602	C	C	A	FALSE
AY039740	AY039740.1	Lit935	Lit935	XXXX-XX-XX	Europe	Lithuania			300			2001-08-09	2002-04-26	Tecle et al.	"Tecle,T.,Mickiene,A.,Johansson,B.,Lindquist,L.,Orvell,C."	"Huddinge University Hospital, IMPI, Karolinska Institutet, Department of Clinical Virology"	https://www.ncbi.nlm.nih.gov/nuccore/AY039740	Mumps orthorubulavirus		2560602	C	C	A	FALSE
AY039741	AY039741.1	Lit982	Lit982	XXXX-XX-XX	Europe	Lithuania			300			2001-08-09	2002-04-26	Tecle et al.	"Tecle,T.,Mickiene,A.,Johansson,B.,Lindquist,L.,Orvell,C."	"Huddinge University Hospital, IMPI, Karolinska Institutet, Department of Clinical Virology"	https://www.ncbi.nlm.nih.gov/nuccore/AY039741	Mumps orthorubulavirus		2560602	C	C	A	FALSE
AY380064	AY380064.1	UK98-86x3		XXXX-XX-XX					598			2004-01-01	2016-07-26	Jin et al.	"Jin,L.,Brown,D.W.,Litton,P.A.,White,J.M."	"Health Protection Agency, Enteric, Respiratory and Neurological virus Laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/AY380064	Mumps orthorubulavirus		2560602	H	H	A	FALSE
AY380065	AY380065.1	UK99-102x13		XXXX-XX-XX					598			2004-01-01	2016-07-26	Jin et al.	"Jin,L.,Brown,D.W.,Litton,P.A.,White,J.M."	"Health Protection Agency, Enteric, Respiratory and Neurological virus Laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/AY380065	Mumps orthorubulavirus		2560602	F	F	A	FALSE
AY380078	AY380078.1	UK02-304		XXXX-XX-XX					598			2004-01-01	2016-07-26	Jin et al.	"Jin,L.,Brown,D.W.,Litton,P.A.,White,J.M."	"Health Protection Agency, Enteric, Respiratory and Neurological virus Laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/AY380078	Mumps orthorubulavirus		2560602	G	G	A	FALSE
AY735416	AY735416.1	353NE96		XXXX-XX-XX					200			2005-04-07	2005-04-07	Palacios et al.	"Palacios,G.,Jabado,O.,Cisterna,D.,de Ory,F.,Renwick,N.,Echevarria,J.E.,Castellanos,A.,Mosquera,M.,Freire,M.C.,Campos,R.H.,Lipkin,W.I.,Mosquera,M.M."	"Columbia University, Greene Laboratory for Infectious Diseases"	https://www.ncbi.nlm.nih.gov/nuccore/AY735416	Mumps orthorubulavirus		2560602	K	unclassified	A	FALSE
AY735429	AY735429.1	538-00		XXXX-XX-XX					200			2005-04-07	2005-04-07	Palacios et al.	"Palacios,G.,Jabado,O.,Cisterna,D.,de Ory,F.,Renwick,N.,Echevarria,J.E.,Castellanos,A.,Mosquera,M.,Freire,M.C.,Campos,R.H.,Lipkin,W.I.,Mosquera,M.M."	"Columbia University, Greene Laboratory for Infectious Diseases"	https://www.ncbi.nlm.nih.gov/nuccore/AY735429	Mumps orthorubulavirus		2560602	K	K	A	FALSE
AY735439	AY735439.1	LP71		XXXX-XX-XX					200			2005-04-07	2005-04-07	Palacios et al.	"Palacios,G.,Jabado,O.,Cisterna,D.,de Ory,F.,Renwick,N.,Echevarria,J.E.,Castellanos,A.,Mosquera,M.,Freire,M.C.,Campos,R.H.,Lipkin,W.I.,Mosquera,M.M."	"Columbia University, Greene Laboratory for Infectious Diseases"	https://www.ncbi.nlm.nih.gov/nuccore/AY735439	Mumps orthorubulavirus		2560602	A	unclassified	A	FALSE
AY735440	AY735440.1	SF65		XXXX-XX-XX					200			2005-04-07	2005-04-07	Palacios et al.	"Palacios,G.,Jabado,O.,Cisterna,D.,de Ory,F.,Renwick,N.,Echevarria,J.E.,Castellanos,A.,Mosquera,M.,Freire,M.C.,Campos,R.H.,Lipkin,W.I.,Mosquera,M.M."	"Columbia University, Greene Laboratory for Infectious Diseases"	https://www.ncbi.nlm.nih.gov/nuccore/AY735440	Mumps orthorubulavirus		2560602	A		A	FALSE
AY735441	AY735441.1	570LCR		XXXX-XX-XX					200			2005-04-07	2005-04-07	Palacios et al.	"Palacios,G.,Jabado,O.,Cisterna,D.,de Ory,F.,Renwick,N.,Echevarria,J.E.,Castellanos,A.,Mosquera,M.,Freire,M.C.,Campos,R.H.,Lipkin,W.I.,Mosquera,M.M."	"Columbia University, Greene Laboratory for Infectious Diseases"	https://www.ncbi.nlm.nih.gov/nuccore/AY735441	Mumps orthorubulavirus		2560602	A	unclassified	A	FALSE
CQ964156	CQ964156.1	CQ964156		XXXX-XX-XX					393			2004-12-13	2004-12-13	Harford et al.	"Harford,N.M.,Colau,B.G.,Didelez,J.G."		https://www.ncbi.nlm.nih.gov/nuccore/CQ964156	Mumps orthorubulavirus		2560602	A	unclassified	A	FALSE
D86172	D86172.1	ODATE-1		XXXX-XX-XX					1910	Chlorocebus aethiops	TRUE	1996-07-28	2020-12-19	Saito et al.	"Saito,H.,Takahashi,Y.,Harata,S.,Tanaka,K.,Sano,T.,Suto,T.,Yamada,A.,Yamazaki,S.,Morita,M.,Sato,H."	"Microbiology; 6-6 Senshu Kubotamachi, Akita, Akita 010-0874"	https://www.ncbi.nlm.nih.gov/nuccore/D86172	Mumps orthorubulavirus		2560602		I	A	FALSE
DQ268536	DQ268536.1	KM		XXXX-XX-XX	Asia	China	Kunming		438			2005-11-19	2005-11-19	Ma et al.	"Ma,S.,Li,Q.,Liu,L.,Wang,J.,Wang,L.,Dong,C.,Liang,Y."	"Institute of Medical Biology, Viral Immunology"	https://www.ncbi.nlm.nih.gov/nuccore/DQ268536	Mumps orthorubulavirus		2560602	A	unclassified	A	FALSE
DQ525022	DQ525022.2	S-12		XXXX-XX-XX	Asia	Iran			1752			2006-05-31	2008-02-28	Alirezaie et al.	"Alirezaie,B.,Aghaiypour,K.,Shafyi,A.,Safavieh,S.,Mohammadi,A.,Shahkarami,M."	"RAZI, Human Viral Vaccine"	https://www.ncbi.nlm.nih.gov/nuccore/DQ525022	Mumps orthorubulavirus		2560602		H	A	FALSE
DQ664492	DQ664492.1	Halifax 05-199-2125	Halifax 05-199-2125	XXXX-XX-XX	North America	Canada			267			2006-07-08	2008-12-01	Watson-Creed et al.	"Watson-Creed,G.,Saunders,A.,Scott,J.,Lowe,L.,Pettipas,J.J.,Hatchette,T.F."	"Queen Elizabeth II Health Science Center, Pathology and Laboratory Medicine"	https://www.ncbi.nlm.nih.gov/nuccore/DQ664492	Mumps orthorubulavirus		2560602	G	G	A	FALSE
DQ664493	DQ664493.1	Halifax 05-269-1137	Halifax 05-269-1137	XXXX-XX-XX	North America	Canada			267			2006-07-08	2008-12-01	Watson-Creed et al.	"Watson-Creed,G.,Saunders,A.,Scott,J.,Lowe,L.,Pettipas,J.J.,Hatchette,T.F."	"Queen Elizabeth II Health Science Center, Pathology and Laboratory Medicine"	https://www.ncbi.nlm.nih.gov/nuccore/DQ664493	Mumps orthorubulavirus		2560602	G	G	A	FALSE
DQ664494	DQ664494.1	Halifax 05-240-0605	Halifax 05-240-0605	XXXX-XX-XX	North America	Canada			267			2006-07-08	2008-12-01	Watson-Creed et al.	"Watson-Creed,G.,Saunders,A.,Scott,J.,Lowe,L.,Pettipas,J.J.,Hatchette,T.F."	"Queen Elizabeth II Health Science Center, Pathology and Laboratory Medicine"	https://www.ncbi.nlm.nih.gov/nuccore/DQ664494	Mumps orthorubulavirus		2560602	G	G	A	FALSE
DQ664495	DQ664495.1	Halifax 05-259-2141	Halifax 05-259-2141	XXXX-XX-XX	North America	Canada			267			2006-07-08	2008-12-01	Watson-Creed et al.	"Watson-Creed,G.,Saunders,A.,Scott,J.,Lowe,L.,Pettipas,J.J.,Hatchette,T.F."	"Queen Elizabeth II Health Science Center, Pathology and Laboratory Medicine"	https://www.ncbi.nlm.nih.gov/nuccore/DQ664495	Mumps orthorubulavirus		2560602	G	G	A	FALSE
DQ664496	DQ664496.1	Halifax 06-005-2502	Halifax 06-005-2502	XXXX-XX-XX	North America	Canada			267			2006-07-08	2008-12-01	Watson-Creed et al.	"Watson-Creed,G.,Saunders,A.,Scott,J.,Lowe,L.,Pettipas,J.J.,Hatchette,T.F."	"Queen Elizabeth II Health Science Center, Pathology and Laboratory Medicine"	https://www.ncbi.nlm.nih.gov/nuccore/DQ664496	Mumps orthorubulavirus		2560602	G	G	A	FALSE
DQ664497	DQ664497.1	Halifax 06-038-1178	Halifax 06-038-1178	XXXX-XX-XX	North America	Canada			267			2006-07-08	2008-12-01	Watson-Creed et al.	"Watson-Creed,G.,Saunders,A.,Scott,J.,Lowe,L.,Pettipas,J.J.,Hatchette,T.F."	"Queen Elizabeth II Health Science Center, Pathology and Laboratory Medicine"	https://www.ncbi.nlm.nih.gov/nuccore/DQ664497	Mumps orthorubulavirus		2560602	G	G	A	FALSE
EU259203	EU259203.1	Zg/CRO06		2006-XX-XX	Europe	Croatia			1856	Homo sapiens		2008-10-24	2008-10-24	Ivancic-Jelecki et al.	"Ivancic-Jelecki,J.,Santak,M.,Forcic,D."	"Institute of Immunology, Molecular Biomedicine Unit, Research & Development"	https://www.ncbi.nlm.nih.gov/nuccore/EU259203	Mumps orthorubulavirus		2560602		D	A	FALSE
FJ919343	FJ919343.1	2485NE		2005-10-10	Europe	Spain	Pontevedra		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919343	Mumps virus genotype G1	G1	1496281	G	G	A	FALSE
FJ919344	FJ919344.1	1501O		2005-06-27	Europe	Spain	Almeria		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919344	Mumps virus genotype G1	G1	1496281	G	G	A	FALSE
FJ919345	FJ919345.1	2006O		2006-05-19	Europe	Spain	La Rioja ES	Logrono	156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919345	Mumps virus genotype G1	G1	1496281	G	G	A	FALSE
FJ919346	FJ919346.1	804O		2005-04-25	Europe	Spain	Almeria		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919346	Mumps virus genotype G1	G1	1496281	G	G	A	FALSE
FJ919347	FJ919347.1	1028O		2005-05-16	Europe	Spain	Almeria		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919347	Mumps virus genotype G1	G1	1496281	G	G	A	FALSE
FJ919348	FJ919348.1	772O		2007-03-07	Europe	Spain	Caceres		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919348	Mumps virus genotype G1	G1	1496281	G	G	A	FALSE
FJ919349	FJ919349.1	2393O		2007-06-28	Europe	Spain	Segovia		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919349	Mumps virus genotype G1	G1	1496281	G	G	A	FALSE
FJ919350	FJ919350.1	3736O		2006-09-18	Europe	Spain	La Rioja ES	Logrono	156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919350	Mumps virus genotype G1	G1	1496281	G	G	A	FALSE
FJ919351	FJ919351.1	1459O		2005-06-23	Europe	Spain	Madrid		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919351	Mumps virus genotype G1	G1	1496281	G	G	A	FALSE
FJ919352	FJ919352.1	2384O		2007-06-28	Europe	Spain	Madrid		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919352	Mumps virus genotype G2	G2	1496282	G	G	A	FALSE
FJ919353	FJ919353.1	591O		2005-03-31	Europe	Spain	Madrid		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919353	Mumps virus genotype H2	H2	1496284	H	H	A	FALSE
FJ919354	FJ919354.1	1337O		2005-06-16	Europe	Spain	Madrid		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919354	Mumps virus genotype H2	H2	1496284	H	H	A	FALSE
FJ919355	FJ919355.1	2104O		2000-11-23	Europe	Spain	Madrid		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919355	Mumps virus genotype H1	H1	1496283	H	H	A	FALSE
FJ919356	FJ919356.1	8Canarias		2000-XX-XX	Europe	Spain	Las Palmas de Gran Canaria		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919356	Mumps virus genotype H1	H1	1496283	H	H	A	FALSE
FJ919357	FJ919357.1	1295O		2002-06-07	Europe	Spain	Palencia		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919357	Mumps virus genotype H1	H1	1496283	H	H	A	FALSE
FJ919358	FJ919358.1	10Canarias		2000-XX-XX	Europe	Spain	Las Palmas de Gran Canaria		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919358	Mumps virus genotype H1	H1	1496283	H	H	A	FALSE
FJ919359	FJ919359.1	556O		2001-03-05	Europe	Spain	Madrid		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919359	Mumps virus genotype H1	H1	1496283	H	H	A	FALSE
FJ919360	FJ919360.1	646O		2001-03-14	Europe	Spain	Madrid		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919360	Mumps virus genotype H1	H1	1496283	H	H	A	FALSE
FJ919361	FJ919361.1	1269O		2000-06-27	Europe	Spain	Madrid		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919361	Mumps virus genotype H1	H1	1496283	H	H	A	FALSE
FJ919362	FJ919362.1	857NE		1996-06-07	Europe	Spain	Ferrol		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919362	Mumps virus genotype H1	H1	1496283	H	H	A	FALSE
FJ919363	FJ919363.1	1290O		2000-06-09	Europe	Spain	Madrid		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919363	Mumps virus genotype H1	H1	1496283	H	H	A	FALSE
FJ919369	FJ919369.1	1610NE		1999-09-17	Europe	Spain	Comunitat Valenciana	Alicante	156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919369	Mumps virus genotype C	C	1428458	C	C	A	FALSE
FJ919370	FJ919370.1	2780O		2003-10-16	Europe	Spain	Madrid		156	Homo sapiens		2010-03-31	2014-05-02	Echevarria et al.	"Echevarria,J.E.,Castellanos,A.,Sanz,J.C.,Perez,C.,Palacios,G.,Martinez de Aragon,M.V.,Pena Rey,I.,Mosquera,M.,de Ory,F.,Royuela,E."	"Instituto de Salud Carlos III (ISCIII) and Centro de Investigaciones Biomedicas en Red en Epidemiologia y Salud Publica (CIBERESP), Centro Nacional de Microbiologia, Unidad de Aislamiento y Deteccion Viral"	https://www.ncbi.nlm.nih.gov/nuccore/FJ919370	Mumps virus genotype J	J	1428459	J	J	A	FALSE
GQ501073	GQ501073.1	PZH0804	PZH0804	2008-04-03	Asia	China			1798			2009-09-28	2011-09-23	Shi et al.	"Shi,H.,Liu,L.,Ma,S.,Chen,J.,Che,Y.,Wang,J.,Li,Q."	"Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology"	https://www.ncbi.nlm.nih.gov/nuccore/GQ501073	Mumps orthorubulavirus		2560602		F	A	FALSE
GQ501078	GQ501078.1	PZH0911	PZH0911	2009-03-23	Asia	China			1709			2009-09-28	2011-09-23	Shi et al.	"Shi,H.,Liu,L.,Ma,S.,Chen,J.,Che,Y.,Wang,J.,Li,Q."	"Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology"	https://www.ncbi.nlm.nih.gov/nuccore/GQ501078	Mumps orthorubulavirus		2560602		F	A	FALSE
GQ501081	GQ501081.1	GX0905	GX0905	2009-03-09	Asia	China			2073			2009-09-28	2011-09-23	Shi et al.	"Shi,H.,Liu,L.,Ma,S.,Chen,J.,Che,Y.,Wang,J.,Li,Q."	"Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology"	https://www.ncbi.nlm.nih.gov/nuccore/GQ501081	Mumps orthorubulavirus		2560602		unclassified	A	FALSE
GQ501083	GQ501083.1	GX0913	GX0913	2009-03-01	Asia	China			2083			2009-09-28	2011-09-23	Shi et al.	"Shi,H.,Liu,L.,Ma,S.,Chen,J.,Che,Y.,Wang,J.,Li,Q."	"Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology"	https://www.ncbi.nlm.nih.gov/nuccore/GQ501083	Mumps orthorubulavirus		2560602		unclassified	A	FALSE
GQ501087	GQ501087.1	ZT0712	ZT0712	2007-12-10	Asia	China			2145			2009-09-28	2011-09-23	Shi et al.	"Shi,H.,Liu,L.,Ma,S.,Chen,J.,Che,Y.,Wang,J.,Li,Q."	"Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology"	https://www.ncbi.nlm.nih.gov/nuccore/GQ501087	Mumps orthorubulavirus		2560602	A	unclassified	A	FALSE
